2023-08-12 20:28:46,398 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:28:48,733 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:28:51,252 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:28:53,638 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:28:56,090 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:28:58,509 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:29:00,879 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:29:03,330 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:29:05,608 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:29:08,150 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:29:10,680 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:29:12,992 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:29:21,565 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:23,893 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:26,550 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:28,928 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:31,295 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:33,712 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:36,247 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:38,570 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:40,872 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:43,452 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:45,975 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:48,399 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:50,950 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:53,350 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
